,,Name,SKU,Category,Brand,Unit,Cost Price,Sale Price,Min Stock Level,Current Stock,Description
,3,Fabia-Smart Toilet,10001,Sanitary Ware,Stella,pcs,,0.0,5,0,
,4,Vivia Smart Toilet,10002,Sanitary Ware,Stella,pcs,,0.0,5,0,
,5,Milana (Wall Hung) ,10003,Sanitary Ware,Stella,pcs,,0.0,5,0,
,6,,10004,Sanitary Ware,Stella,pcs,,0.0,5,0,
,7,Veronica (Tornado Jet Flush),10005,Sanitary Ware,Stella,pcs,,0.0,5,0,
,8,Alvira (Jet Flush),10006,Sanitary Ware,Stella,pcs,,0.0,5,0,
,9,Viola (Jet Flush),10007,Sanitary Ware,Stella,pcs,,0.0,5,0,
,10,Tiana (Jet Flush),10008,Sanitary Ware,Stella,pcs,20126,23676.2,5,3,
,11,Aurora (Jet Flush),10009,Sanitary Ware,Stella,pcs,18711,22011.6,5,6,
,12,Arvia (Jet Flush),10010,Sanitary Ware,Stella,pcs,,0.0,5,0,
,13,Fortuna (Tornado Jet Flush),10011,Sanitary Ware,Stella,pcs,17609.45,20715.8,5,4,
,,Verona (Tornado Jet Flush),10012,Sanitary Ware,Stella,pcs,16395.65,19287.8,5,3,
,,Nora (Jet Flush),10013,Sanitary Ware,Stella,pcs,15306.8,18006.9,5,1,
,,Rivella (Tornado Jet Flush),10014,Sanitary Ware,Stella,pcs,18700,21998.7,5,3,
,,Marlina (Tornado Jet Flush)  ,10015,Sanitary Ware,Stella,pcs,,0.0,5,0,
,,Evana (Tornado Jet Flush),10016,Sanitary Ware,Stella,pcs,,0.0,5,0,
,,Roma (Jet Flush),10017,Sanitary Ware,Stella,pcs,14071.75,16554.0,5,3,
,,,10018,Sanitary Ware,Stella,pcs,,0.0,5,0,
,,Romala Commode,10019,Sanitary Ware,Stella,pcs,,0.0,5,0,
,,Vivana Commode,10020,Sanitary Ware,Stella,pcs,,0.0,5,0,
,,Isabella Commode,10021,Sanitary Ware,Stella,pcs,,0.0,5,0,
,,Arina Commode Off/White,10022,Sanitary Ware,Stella,pcs,11320.1,13317.0,5,3,
,,Arina Commode White,10023,Sanitary Ware,Stella,pcs,11320.1,13317.0,5,6,
,,Verso (Hydraulic),10024,Sanitary Ware,Stella,pcs,,0.0,5,0,
,,Marcela (Hydraulic),10025,Sanitary Ware,Stella,pcs,,0.0,5,0,
,,Marcela Commode,10026,Sanitary Ware,Stella,pcs,,0.0,5,0,
,,Marcela P-Trap (Hydraulic),10027,Sanitary Ware,Stella,pcs,,0.0,5,0,
,,Marcela P-Trap ,10028,Sanitary Ware,Stella,pcs,,0.0,5,0,
,,Victoria (Hydraulic) Off/White,10029,Sanitary Ware,Stella,pcs,7594.84,8934.6,5,5,
,,Victoria (Hydraulic)White,10030,Sanitary Ware,Stella,pcs,7594.84,8934.6,5,4,
,,Victoria (Jet Flush),10031,Sanitary Ware,Stella,pcs,7089.72,8340.3,5,2,
,,Serina Commode,10032,Sanitary Ware,Stella,pcs,,0.0,5,0,
,,Imola (Hydraulic),10033,Sanitary Ware,Stella,pcs,,0.0,5,0,
,,Imola Commode,10034,Sanitary Ware,Stella,pcs,,0.0,5,0,
,,Imola P-Trap (Hydraulic),10035,Sanitary Ware,Stella,pcs,,0.0,5,0,
,,Imola P-Trap,10036,Sanitary Ware,Stella,pcs,6213.14,7309.1,5,0,
,,,10037,Sanitary Ware,Stella,pcs,,0.0,5,0,
,,Wash Basin (Counter Top),10038,Sanitary Ware,Stella,pcs,,0.0,5,0,
,,Flavia (Counter Top),10039,Sanitary Ware,Stella,pcs,,0.0,5,0,
,,Liana (Counter Top),10040,Sanitary Ware,Stella,pcs,10946.3,12877.2,5,4,
,,Linia (Top Basin),10041,Sanitary Ware,Stella,pcs,9775,11499.3,5,5,
,,Arvia (Counter Top),10042,Sanitary Ware,Stella,pcs,,0.0,5,0,
,,Carlina (Counter Top),10043,Sanitary Ware,Stella,pcs,,0.0,5,0,
,,Savia (Countar Top),10044,Sanitary Ware,Stella,pcs,,0.0,5,0,
,,Amelia (Countar Top),10045,Sanitary Ware,Stella,pcs,,0.0,5,0,
,,Mirabelle (Countar Top),10046,Sanitary Ware,Stella,pcs,7675.5,9029.5,5,5,
,,Livia (Countar Top),10047,Sanitary Ware,Stella,pcs,7667,9019.5,5,6,
